Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,U04,817,FLANGE,5619834,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 30.0MM,1500F22,18,18,0,0,BB,2140
bb_fgp,U04,,TEE RED,5599703,FLG SCRD (FNPT) REDUCING 300# RF LTCS A350 LF2 CL.1,300K5A,0.5,0.5,0.75,1.5,BB,3530
bb_fgp,U04,,FLANGE,9006752,FLG WN REDUCING 300# RF LTCS A694 F60 BORED TO SUIT WT 6.02MM,300K5A,3,3,4,4,BB,3540
bb_fgp,,,,,,300K5A,,,,,BB,3550
bb_fgp,U04,,ORIFICE FLG,5623944,WN ORIF SET 300# RF LTCS A350 LF2 CL.1 SCH STD,300K5A,3,3,0,0,BB,3550
bb_fgp,,,,,,300K5A,,,,,BB,3560
bb_fgp,,,FLANGE,5851203,FLANGE ADAPTER 300# RF 316 SS X 12 MM TUBE,300K5A,0.5,2,0,0,BB,3560
bb_fgp,,,,,,300K5A,,,,,BB,3570
bb_fgp,,,,,***** GASKETS *****,300K5A,,,,,BB,3570
bb_fgp,,,,,,300K5A,,,,,BB,3580
bb_fgp,,,GASKET,5673033,GASKET 300# 316SS SPIRAL WOUND GRAPHITE IR,300K5A,0.5,24,0,0,BB,3580
bb_fgp,U04,817,FLANGE,5619835,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 33.0MM,1500F22,20,20,0,0,BB,2150
bb_fgp,,,GASKET,5674032,GASKET 300# 316SS KAMMPROFILE GRAPHITE ASME B16.47 SERIES A,300K5A,28,28,0,0,BB,3590
bb_fgp,U04,FS1,GASKET,5673103,GASKET 600# 316SS SPIRAL WOUND GRAPHITE IR,300K5A,1,24,0,0,BB,3600
bb_fgp,U04,"FS1, 817",GASKET,5673202,GASKET 600# RTJ SOFT IRON TEFLON COATED OCTAGONAL RING,300K5A,12,18,0,0,BB,3610
bb_fgp,U04,FS1,GASKET,5672251,GASKET 1500# 316SS SPIRAL WOUND GRAPHITE IR,300K5A,2,2,0,0,BB,3620
bb_fgp,U04,FS1,GASKET,5673117,GASKET 900# 316SS SPIRAL WOUND GRAPHITE IR,300K5A,3,10,0,0,BB,3630
bb_fgp,,,,,,300K5A,,,,,BB,3640
bb_fgp,,B1,,,***** BOLTING *****,300K5A,,,,,BB,3640
bb_fgp,,,,,,300K5A,,,,,BB,3650
bb_fgp,U04,,BOLTING,5675770,STUD-BOLT A320 GR L7M/A194 GR 7M (S3) WITH 2 NUTS,300K5A,0.5,99,0,0,BB,3650
bb_fgp,U04,821,,5675776,STUD-BOLT WITH 2 NUTS API-6A718,300K5A,0.5,24,0,0,BB,3660
bb_fgp,U04,817,FLANGE,5619836,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 38.5MM,1500F22,24,24,0,0,BB,2160
bb_fgp,,,,,,300K5A,,,,,BB,3670
bb_fgp,,SB6,BOLTING,5675675,JACK SCREW HEX HEAD A320 GR L7M,300K5A,12,28,0,0,BB,3670
bb_fgp,,,,,,300K5A,,,,,BB,3680
bb_fgp,,,SPEC BLIND,5749581,SPECTACLE BLIND 300# RF LTCS A516 GR.70,300K5A,0.75,10,0,0,BB,3680
bb_fgp,U04,817,SPEC BLIND,5749587,SPECTACLE BLIND 600# RF LTCS A516-GR70,300K5A,1,1,0,0,BB,3690
bb_fgp,,,,,,300K5A,,,,,BB,3700
bb_fgp,,,PADDLE,5750100,PADDLE BLANK 300# RF LTCS A516 GR.70,300K5A,12,24,0,0,BB,3700
bb_fgp,,,PADDLE,5750028,PADDLE BLANK 300# RF LTCS A516 GR70 B16.47 SERIES A,300K5A,28,28,0,0,BB,3710
bb_fgp,,,PADDLE,5750200,PADDLE SPACER 300# RF LTCS A516 GR.70,300K5A,12,24,0,0,BB,3720
bb_fgp,,,PADDLE,5750198,PADDLE SPACER 300# RF LTCS A516 GR70 B16.47 SERIES A,300K5A,28,28,0,0,BB,3730
bb_fgp,U04,817,FLANGE,5619837,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 47.5MM,1500F22,30,30,0,0,BB,2170
bb_fgp,,,,,,300K5A,,,,,BB,3740
bb_fgp,,,,,***** MODULAR VALVES *****,300K5D,,,,,BB,10
bb_fgp,,VB2,,,***** BALL VALVES *****,300K5D,,,,,BB,20
bb_fgp,,,,,,300K5D,,,,,BB,30
